node,F_t,L,o_t,tau_t,tau_t1,s_t,Abar,A_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,146,1,-1.0,10.0,10.0,-1,0.42962632615857793,0.8566813313523114,0,0,0.0,0.0,3.0,8.5,0.4,0.0,0.0,3.0,8.5,-1.0,-1,146,0.8566813313523114
1,148,1,-1.0,10.0,10.0,-1,0.6140151873383664,1.0,1,1,0.0,0.0,6.0,6.0,0.4,0.0,0.0,6.0,6.0,-1.0,-1,148,1.0
2,13,0,-0.4260676926907036,10.0,10.0,-1,0.3379324907278382,0.6529267298351602,0,0,0.0,1.0,4.0,5.5,0.1862621597309011,0.0,1.0,4.0,5.5,-0.4260676926907036,-1,13,0.6529267298351602
3,194,1,-1.0,10.0,10.0,-1,0.5911130282972231,0.9845349437696674,1,0,0.0,2.0,7.0,4.5,0.4,0.0,2.0,7.0,4.5,-1.0,-1,194,0.9845349437696674
4,191,1,-1.0,10.0,10.0,-1,0.43949337798593163,0.9394726797605882,1,1,0.0,2.0,2.5,8.5,0.4,0.0,2.0,2.5,8.5,-1.0,-1,191,0.9394726797605882
5,268,1,-1.0,10.0,10.0,-1,0.20406895964078298,0.6444792561291346,0,0,0.0,0.0,5.0,8.5,0.4,0.0,0.0,5.0,8.5,-1.0,-1,268,0.6444792561291346
6,219,1,-1.0,10.0,10.0,-1,0.7733167210535725,1.0,0,0,0.0,0.0,4.0,9.5,0.4,0.0,0.0,4.0,9.5,-1.0,-1,219,1.0
7,170,1,-1.0,10.0,10.0,1,0.7210649273232315,1.0,1,1,0.0,0.0,5.5,4.5,0.4,0.0,0.0,5.5,4.5,-1.0,1,170,1.0
8,203,1,-1.0,10.0,10.0,-1,0.3745019302076171,0.722701745820396,0,0,0.0,1.0,3.5,3.5,0.4,0.0,1.0,3.5,3.5,-1.0,-1,203,0.722701745820396
9,2,0,-0.41192606540678833,10.0,10.0,-1,0.7986543885397164,1.0,0,0,0.0,1.0,4.0,4.0,0.21834332030706596,0.0,1.0,4.0,4.0,-0.41192606540678833,-1,2,1.0
10,143,1,-1.0,10.0,10.0,1,0.3902766047339205,0.7925843657773374,0,0,0.0,2.0,5.0,6.5,0.4,0.0,2.0,5.0,6.5,-1.0,1,143,0.7925843657773374
