potential_originators,actual_creators,constructive_posts,toxic_posts,support_posts,oppose_posts,avg_exposure_size,mean_opinion,std_opinion,mean_abs_opinion,opinion_variance,extremist_ratio,moderate_ratio,homophily_ratio,sign_modularity,edge_count,round
257,138,70,68,66,72,8.403,0.002549778413544976,0.5048162842444414,0.4177402312702317,0.2545846413575263,0.202,0.412,0.498046875,-0.0021485310010520564,3072,1
296,186,34,152,72,114,8.785,0.003752643766658748,0.525835204147297,0.4389791921145737,0.2762261592587089,0.224,0.386,0.5067768595041322,0.0056898411987761355,3025,2
293,156,26,130,68,88,8.968,0.008666985548787594,0.5534991433090192,0.46647692094458704,0.3060549403421744,0.261,0.371,0.5035058430717864,0.0030464424335298057,2995,3
308,129,15,114,58,71,7.856,0.009154952180853982,0.5700125481346575,0.4838761019435896,0.32458939072593423,0.279,0.336,0.5161616161616162,0.01582489964602196,2970,4
315,125,6,119,52,73,9.091,-0.0004193188973900277,0.5912654183227306,0.5055901895729996,0.34924520010944926,0.31,0.318,0.5168310098605916,0.016731078168967017,2941,5
290,94,9,85,34,60,8.276,-0.0020835737478410153,0.6170182876169809,0.532812627704271,0.3803308556865376,0.341,0.292,0.514334470989761,0.013702330338227847,2930,6
295,90,7,83,29,61,4.938,-0.002254903939255824,0.6258719633307489,0.5444711945256279,0.39132399876900276,0.364,0.265,0.5165876777251185,0.01573428343664679,2954,7
297,144,28,116,50,94,7.778,-0.0002368875410066469,0.6392565452758501,0.5610100062205224,0.408240281747337,0.372,0.253,0.5189152996317375,0.017737432998513603,2987,8
299,100,10,90,50,50,8.638,-0.0049893147572791655,0.6485551000753065,0.5697963540012488,0.42020309411585716,0.398,0.239,0.5218267293485561,0.019500654826959063,2978,9
279,49,0,49,21,28,3.396,-0.009716869218566968,0.6527959612506616,0.5768444100510323,0.42571642445815017,0.406,0.226,0.5256930358350237,0.02238200024058301,2958,10
289,71,11,60,30,41,5.181,-0.010802301845341386,0.6622510260233454,0.5840560998651235,0.43813784504750475,0.422,0.246,0.52428810720268,0.022097747311858984,2985,11
269,86,7,79,39,47,7.334,-0.016319691763250765,0.6821096634622067,0.6090651384684459,0.46480831939553635,0.456,0.217,0.5181758096497026,0.01592501747874492,3026,12
301,40,2,38,22,18,4.225,-0.015393673654609436,0.6839814936613978,0.6135492802878683,0.4673628529876055,0.462,0.191,0.5344827586206896,0.030920822835420525,3016,13
295,51,3,48,17,34,5.519,-0.010740522447327733,0.6909459382424363,0.6189774769387189,0.4769288832841469,0.465,0.201,0.5251247920133112,0.020648818180832446,3005,14
270,69,5,64,23,46,5.639,-0.010732437211517225,0.6982658524547873,0.6279936738750923,0.4870876255037064,0.487,0.184,0.5361305361305362,0.03261797966465704,3003,15
288,33,4,29,11,22,2.736,-0.01508531612509293,0.6984348291968103,0.6288890085981493,0.4873233994245424,0.488,0.181,0.527693856998993,0.02354216539766496,2979,16
