node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,118,1,0.07869332908111873,1,0.6087976836138147,1.0,0.15609988770813701,1,1,0.0,0.0,0.0,10.5,0.897571961342832,0.0,0.0,0.0,10.5,0.07869332908111873,1,118,1.0
1,0,0,-0.999494208513147,-1,0.31515269684665126,0.5843016321565168,-0.9639462847764421,0,0,0.0,0.0,0.0,10.0,0.2805863596324403,0.0,0.0,0.0,10.0,-0.999494208513147,-1,0,0.5843016321565168
2,5,0,0.9999234504824243,1,0.3052773479474527,0.6309532583324416,0.9640149435778478,0,0,0.0,0.0,0.0,10.0,0.43609656855623263,0.0,0.0,0.0,10.0,0.9999234504824243,1,5,0.6309532583324416
3,2,0,-0.9999387871580012,-1,0.687192920906327,0.9550407821311251,-0.9640177509835778,0,0,0.0,0.0,0.0,10.0,0.49922892693876186,0.0,0.0,0.0,10.0,-0.9999387871580012,-1,2,0.9550407821311251
4,102,1,-0.9944123366432355,-1,0.3588270263717225,0.7921603087835196,-0.9631656313552456,1,1,0.0,0.0,0.0,10.5,0.8588187213201194,0.0,0.0,0.0,10.5,-0.9944123366432355,-1,102,0.7921603087835196
5,93,1,-0.9935373217044039,-1,0.7479711102211855,1.0,-0.9630318013467168,1,1,0.0,0.0,0.0,9.5,0.8948329531405509,0.0,0.0,0.0,9.5,-0.9935373217044039,-1,93,1.0
6,103,1,-0.9902559763728197,-1,0.2840332428136944,0.7172027357019901,-0.9625135844273641,1,1,0.0,0.0,0.0,10.0,0.8377817672991748,0.0,0.0,0.0,10.0,-0.9902559763728197,-1,103,0.7172027357019901
7,107,1,-0.9897602783975294,-1,0.6066251686726818,0.9239751012036092,-0.9624349155762827,0,0,0.0,0.0,0.0,10.0,0.897571961342832,0.0,0.0,0.0,10.0,-0.9897602783975294,-1,107,0.9239751012036092
8,10,0,-0.9997808682020001,-1,0.6886843256185604,0.9732105953711363,-0.9639922064393166,0,0,0.0,0.0,0.0,11.0,0.59856123271853,0.0,0.0,0.0,11.0,-0.9997808682020001,-1,10,0.9732105953711363
9,2,0,-0.9996903922780298,-1,0.34115383304938707,0.6152542764947545,-0.9639775912872319,0,0,0.0,0.0,0.0,11.0,0.3548430519801699,0.0,0.0,0.0,11.0,-0.9996903922780298,-1,2,0.6152542764947545
