node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,98,1,0.07869332908111873,1,0.6087976836138147,0.9252786101682889,0.15609988770813701,0,0,0.0,0.0,0.0,11.0,0.8955547139451918,0.0,0.0,0.0,11.0,0.07869332908111873,1,98,0.9252786101682889
1,0,0,-0.9995384648796206,-1,0.31515269684665126,0.57381949834412,-0.9639530363868297,0,0,0.0,0.0,0.0,11.0,0.2711640786907818,0.0,0.0,0.0,11.0,-0.9995384648796206,-1,0,0.57381949834412
2,7,0,0.4455028349845928,1,0.3052773479474527,0.6756672599343851,0.7118900960027349,1,1,0.0,0.0,0.0,10.5,0.38526292507065923,0.0,0.0,0.0,10.5,0.4455028349845928,1,7,0.6756672599343851
3,2,0,-0.9999366749685469,-1,0.687192920906327,1.0,-0.9640174117772199,1,1,0.0,0.0,0.0,10.0,0.5062050381110701,0.0,0.0,0.0,10.0,-0.9999366749685469,-1,2,1.0
4,97,1,-0.9941056709888569,-1,0.3588270263717225,0.7909665403007694,-0.9631190665137328,1,1,0.0,0.0,0.0,10.0,0.8513803831469677,0.0,0.0,0.0,10.0,-0.9941056709888569,-1,97,0.7909665403007694
5,101,1,-0.9932299919430458,-1,0.7479711102211855,1.0,-0.9629821879272694,1,1,0.0,0.0,0.0,10.0,0.8964773173874693,0.0,0.0,0.0,10.0,-0.9932299919430458,-1,101,1.0
6,119,1,-0.989902491562139,-1,0.2840332428136944,0.7009569761072835,-0.9624551947413622,1,1,0.0,0.0,0.0,10.5,0.8325278587855117,0.0,0.0,0.0,10.5,-0.989902491562139,-1,119,0.7009569761072835
7,101,1,-0.9897740992126952,-1,0.6066251686726818,0.9935651416850527,-0.9624347735280468,1,1,0.0,0.0,0.0,10.5,0.8842889754229766,0.0,0.0,0.0,10.5,-0.9897740992126952,-1,101,0.9935651416850527
8,2,0,-0.9997960826591822,-1,0.6886843256185604,0.9582085287789727,-0.9639947433807894,0,0,0.0,0.0,0.0,10.5,0.5017859355303695,0.0,0.0,0.0,10.5,-0.9997960826591822,-1,2,0.9582085287789727
9,3,0,-0.9996955703424889,-1,0.34115383304938707,0.5841508980974518,-0.9639790752766809,0,0,0.0,0.0,0.0,8.5,0.38086868884245106,0.0,0.0,0.0,8.5,-0.9996955703424889,-1,3,0.5841508980974518
10,105,1,-0.9917767010163286,-1,0.36572441807393963,0.792620782811817,-0.9627520569713007,1,1,0.0,0.0,0.0,10.5,0.8545117988313599,0.0,0.0,0.0,10.5,-0.9917767010163286,-1,105,0.792620782811817
11,4,0,0.9999817664915353,1,0.778711331683521,1.0,0.9640245705541213,0,0,0.0,0.0,0.0,10.0,0.5504179383152993,0.0,0.0,0.0,10.0,0.9999817664915353,1,4,1.0
12,104,1,0.6386103918860566,1,0.358758563207695,0.785691896529759,0.8557426740282984,1,1,0.0,0.0,0.0,10.5,0.8555501555103121,0.0,0.0,0.0,10.5,0.6386103918860566,1,104,0.785691896529759
13,4,0,-0.9995941310808332,-1,0.45797422994002873,0.724595663306875,-0.9639620352093602,0,0,0.0,0.0,0.0,11.0,0.4271495607502562,0.0,0.0,0.0,11.0,-0.9995941310808332,-1,4,0.724595663306875
14,1,0,-0.999606711517922,-1,0.4595093559454197,0.7740070612843354,-0.9639640686176159,0,0,0.0,0.0,0.0,11.0,0.4244928010587521,0.0,0.0,0.0,11.0,-0.999606711517922,-1,1,0.7740070612843354
15,5,0,-0.9997178311989344,-1,0.35182084995781016,0.6609665641235057,-0.9639821347812854,0,0,0.0,0.0,0.0,10.5,0.4384076885316874,0.0,0.0,0.0,10.5,-0.9997178311989344,-1,5,0.6609665641235057
16,3,0,-0.9998395045368352,-1,0.6654746518622543,1.0,-0.9640020939830984,1,1,0.0,0.0,0.0,8.0,0.5361297352585264,0.0,0.0,0.0,8.0,-0.9998395045368352,-1,3,1.0
17,1,0,-0.9995528245767555,-1,0.6631096059374932,1.0,-0.9639553579412735,1,1,0.0,0.0,0.0,11.0,0.4933220958903637,0.0,0.0,0.0,11.0,-0.9995528245767555,-1,1,1.0
18,4,0,-0.9997088840610013,-1,0.4269908085342714,0.8139662372139322,-0.9639809346985886,1,1,0.0,0.0,0.0,9.5,0.4443679089764759,0.0,0.0,0.0,9.5,-0.9997088840610013,-1,4,0.8139662372139322
19,4,0,-0.9995401752242599,-1,0.7010754746484402,1.0,-0.9639552556426682,1,1,0.0,0.0,0.0,6.5,0.5365779348668462,0.0,0.0,0.0,6.5,-0.9995401752242599,-1,4,1.0
20,3,0,-0.9998082063686419,-1,0.3278449606394015,0.716831403557527,-0.963996621402168,1,1,0.0,0.0,0.0,11.0,0.3815754748124709,0.0,0.0,0.0,11.0,-0.9998082063686419,-1,3,0.716831403557527
21,7,0,-0.9996534186994963,-1,0.2025834654006072,0.47008489762279637,-0.9639716170336929,0,0,0.0,0.0,0.0,11.0,0.34711770467549935,0.0,0.0,0.0,11.0,-0.9996534186994963,-1,7,0.47008489762279637
22,2,0,0.012594082015737487,1,0.5427004172334446,0.8679370519039417,0.025182838559739223,0,0,0.0,0.0,0.0,10.0,0.4987696722842649,0.0,0.0,0.0,10.0,0.012594082015737487,1,2,0.8679370519039417
23,2,0,0.08024255897975724,1,0.7964466634714271,1.0,0.15912137572349863,1,1,0.0,0.0,0.0,10.0,0.5087029881102477,0.0,0.0,0.0,10.0,0.08024255897975724,1,2,1.0
24,3,0,0.11060311446057053,1,0.22318658589613077,0.5855253203257289,0.21766744157532106,1,1,0.0,0.0,0.0,8.0,0.3355727164704359,0.0,0.0,0.0,8.0,0.11060311446057053,1,3,0.5855253203257289
25,3,0,-0.9997317368369191,-1,0.3247988442250764,0.585475570718359,-0.9639843757030168,0,0,0.0,0.0,0.0,10.5,0.35075020738074153,0.0,0.0,0.0,10.5,-0.9997317368369191,-1,3,0.585475570718359
26,1,0,0.3234299620035489,1,0.5113487854922505,0.9029864697529495,0.5695522930470875,1,1,0.0,0.0,0.0,11.0,0.4221592225224683,0.0,0.0,0.0,11.0,0.3234299620035489,1,1,0.9029864697529495
27,2,0,-0.9996772777896659,-1,0.6859644418669224,0.9602101311682149,-0.9639755987355553,0,0,0.0,0.0,0.0,10.5,0.5058733971722915,0.0,0.0,0.0,10.5,-0.9996772777896659,-1,2,0.9602101311682149
28,2,0,0.2056810895187214,1,0.25342520304503197,0.5160600170273405,0.38962867898697473,0,0,0.0,0.0,0.0,10.5,0.30846083617868414,0.0,0.0,0.0,10.5,0.2056810895187214,1,2,0.5160600170273405
29,7,0,-0.9995804684801718,-1,0.43714079225533664,0.7118092355703051,-0.9639598267606516,0,0,0.0,0.0,0.0,11.0,0.4557961592365396,0.0,0.0,0.0,11.0,-0.9995804684801718,-1,7,0.7118092355703051
30,3,0,-0.9997499440247618,-1,0.6482454803779318,1.0,-0.9639872117149598,1,1,0.0,0.0,0.0,11.0,0.5186546052105948,0.0,0.0,0.0,11.0,-0.9997499440247618,-1,3,1.0
31,1,0,-0.9995875238490657,-1,0.422925925043817,0.7527259716245395,-0.9639611288358187,0,0,0.0,0.0,0.0,10.5,0.42522839462086925,0.0,0.0,0.0,10.5,-0.9995875238490657,-1,1,0.7527259716245395
32,2,0,0.09156420710739949,1,0.31330185228538343,0.5525357652029466,0.18110837503835248,0,0,0.0,0.0,0.0,7.5,0.3486789760334995,0.0,0.0,0.0,7.5,0.09156420710739949,1,2,0.5525357652029466
33,0,0,0.20926963549747404,1,0.3172974964379524,0.5702257548336922,0.3956991333177575,0,0,0.0,0.0,0.0,8.5,0.30349975459778705,0.0,0.0,0.0,8.5,0.20926963549747404,1,0,0.5702257548336922
34,1,0,-0.9995799086306216,-1,0.44602927214899657,0.7537223966558166,-0.9639597362626741,0,0,0.0,0.0,0.0,11.0,0.4111432007597408,0.0,0.0,0.0,11.0,-0.9995799086306216,-1,1,0.7537223966558166
35,5,0,0.5168304934812603,1,0.48765024488353476,0.8896482006209907,0.7753724819704212,1,1,0.0,0.0,0.0,11.0,0.5091543836681898,0.0,0.0,0.0,11.0,0.5168304934812603,1,5,0.8896482006209907
36,4,0,0.35259845378783955,1,0.7170886506896084,1.0,0.6076561023824824,1,1,0.0,0.0,0.0,9.5,0.5616693672347711,0.0,0.0,0.0,9.5,0.35259845378783955,1,4,1.0
