node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,99,1,0.07869332908111873,1,0.6087976836138147,1.0,0.15609988770813701,1,1,0.0,0.0,0.0,10.0,0.8971415399726286,0.0,0.0,0.0,10.0,0.07869332908111873,1,99,1.0
1,0,0,-0.9995423321861646,-1,0.31515269684665126,0.6220135445606665,-0.9639536616347015,0,0,0.0,0.0,0.0,11.0,0.3160787623331424,0.0,0.0,0.0,11.0,-0.9995423321861646,-1,0,0.6220135445606665
2,9,0,0.9999284641940588,1,0.3052773479474527,0.5507531456884837,0.9640159809785782,0,0,0.0,0.0,0.0,7.5,0.4230626486134015,0.0,0.0,0.0,7.5,0.9999284641940588,1,9,0.5507531456884837
3,4,0,-0.9999378919793218,-1,0.687192920906327,0.9723157525437963,-0.9640175819707275,0,0,0.0,0.0,0.0,10.5,0.5504179383152993,0.0,0.0,0.0,10.5,-0.9999378919793218,-1,4,0.9723157525437963
4,112,1,-0.9945761851701912,-1,0.3588270263717225,0.6857544872395359,-0.9631900255955986,0,0,0.0,0.0,0.0,11.0,0.8555621189836906,0.0,0.0,0.0,11.0,-0.9945761851701912,-1,112,0.6857544872395359
5,102,1,-0.9936364438001192,-1,0.7479711102211855,1.0,-0.9630457828448095,1,1,0.0,0.0,0.0,10.0,0.899006402462357,0.0,0.0,0.0,10.0,-0.9936364438001192,-1,102,1.0
6,112,1,-0.9899370756702423,-1,0.2840332428136944,0.7013403617452232,-0.9624606935924029,1,1,0.0,0.0,0.0,10.5,0.8305703277632699,0.0,0.0,0.0,10.5,-0.9899370756702423,-1,112,0.7013403617452232
7,100,1,-0.9899618046929757,-1,0.6066251686726818,1.0,-0.9624646250067994,1,1,0.0,0.0,0.0,10.5,0.8945863428893871,0.0,0.0,0.0,10.5,-0.9899618046929757,-1,100,1.0
8,3,0,-0.9997915691743278,-1,0.6886843256185604,0.9732105953711363,-0.9639941010437815,0,0,0.0,0.0,0.0,10.0,0.5365779348668462,0.0,0.0,0.0,10.0,-0.9997915691743278,-1,3,0.9732105953711363
9,4,0,-0.9997072941820752,-1,0.34115383304938707,0.6105444504896198,-0.9639805557593485,0,0,0.0,0.0,0.0,10.0,0.37958599248383196,0.0,0.0,0.0,10.0,-0.9997072941820752,-1,4,0.6105444504896198
10,126,1,-0.9916698239683903,-1,0.36572441807393963,0.7990577229901201,-0.962739051159997,1,1,0.0,0.0,0.0,9.5,0.8613682972988715,0.0,0.0,0.0,9.5,-0.9916698239683903,-1,126,0.7990577229901201
11,3,0,0.9999840471683077,1,0.778711331683521,1.0,0.9640249308478454,1,1,0.0,0.0,0.0,11.0,0.5365779348668462,0.0,0.0,0.0,11.0,0.9999840471683077,1,3,1.0
12,106,1,0.9956031724999204,1,0.358758563207695,0.7885078531515496,0.9633530167664303,1,1,0.0,0.0,0.0,9.5,0.8576454795027639,0.0,0.0,0.0,9.5,0.9956031724999204,1,106,0.7885078531515496
