node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,111,1,0.07869332908111873,1,0.6087976836138147,1.0,0.15609988770813701,1,1,0.0,0.0,0.0,10.5,0.8992027576032708,0.0,0.0,0.0,10.5,0.07869332908111873,1,111,1.0
1,2,0,-0.9146392735758855,-1,0.31515269684665126,0.7388478698438288,-0.9473273000666333,1,1,0.0,0.0,0.0,11.0,0.3961713143385213,0.0,0.0,0.0,11.0,-0.9146392735758855,-1,2,0.7388478698438288
2,7,0,0.9698409520886582,1,0.3052773479474527,0.5076975855196133,0.9588208881488729,0,0,0.0,0.0,0.0,7.0,0.38467557810817016,0.0,0.0,0.0,7.0,0.9698409520886582,1,7,0.5076975855196133
3,5,0,-0.9890697957964641,-1,0.687192920906327,1.0,-0.9622209084082014,1,1,0.0,0.0,0.0,11.0,0.5792902266289527,0.0,0.0,0.0,11.0,-0.9890697957964641,-1,5,1.0
4,99,1,-0.8884665082897216,-1,0.3588270263717225,0.7921603543907496,-0.9424630605645762,1,1,0.0,0.0,0.0,10.0,0.855348448411801,0.0,0.0,0.0,10.0,-0.8884665082897216,-1,99,0.7921603543907496
5,99,1,-0.8694504053296527,-1,0.7479711102211855,1.0,-0.937701747911851,1,1,0.0,0.0,0.0,10.0,0.89578949870763,0.0,0.0,0.0,10.0,-0.8694504053296527,-1,99,1.0
6,94,1,-0.8054557638002635,-1,0.2840332428136944,0.7173343638387997,-0.9188173943952711,1,1,0.0,0.0,0.0,9.5,0.8353824521586833,0.0,0.0,0.0,9.5,-0.8054557638002635,-1,94,0.7173343638387997
7,108,1,-0.7931509666571136,-1,0.6066251686726818,1.0,-0.914376468476592,1,1,0.0,0.0,0.0,10.5,0.8962507411437519,0.0,0.0,0.0,10.5,-0.7931509666571136,-1,108,1.0
8,2,0,-0.9626872177096722,-1,0.6886843256185604,1.0,-0.9575028296588456,1,1,0.0,0.0,0.0,10.5,0.5384585238913221,0.0,0.0,0.0,10.5,-0.9626872177096722,-1,2,1.0
9,5,0,-0.9438598708421988,-1,0.34115383304938707,0.7142481263714519,-0.9537561508171655,1,1,0.0,0.0,0.0,11.0,0.3943510767695064,0.0,0.0,0.0,11.0,-0.9438598708421988,-1,5,0.7142481263714519
