potential_originators,actual_creators,constructive_posts,toxic_posts,support_posts,oppose_posts,avg_exposure_size,mean_opinion,std_opinion,opinion_variance,extremist_ratio,homophily_ratio,sign_modularity,edge_count,round
125,72,14,58,31,41,2.77,-0.029224148712297754,0.40657500295482696,0.1648899749451484,0.0775,0.5563665855636658,0.03521223271878873,1233,1
133,89,18,71,8,81,3.6425,-0.03788008905901087,0.4440382372748128,0.19667703127171776,0.09,0.5916271721958926,0.0481831065759637,1266,2
148,138,3,135,1,137,6.6325,-0.04262147517551406,0.49826287892193294,0.24764523177029404,0.115,0.6186567164179104,0.04350739019357604,1340,3
164,164,0,164,0,164,7.43,-0.047614735159615194,0.5528453249215719,0.3048738584044195,0.1475,0.621505376344086,0.020641503051231955,1395,4
146,146,0,146,0,146,6.6925,-0.053051703551979676,0.5994956730560594,0.35849657435790516,0.22,0.6170952050034746,0.002910711864818352,1439,5
184,184,0,184,0,184,7.67,-0.05816838871692183,0.6452346596061586,0.4152869465421823,0.3075,0.6168478260869565,-0.00497781635802462,1472,6
162,162,0,162,0,162,7.5075,-0.06314075466133678,0.6850108110765251,0.46806671176348913,0.4325,0.6329537843268587,-0.004173535889316647,1493,7
175,175,0,175,0,175,6.8325,-0.06793858865981571,0.7178270096020973,0.5139874266750035,0.575,0.6343940419769803,-0.010097819710013022,1477,8
175,175,0,175,0,175,7.6225,-0.07235673006353623,0.7491783424735238,0.5598650183592984,0.7575,0.6313333333333333,-0.01896914845173045,1500,9
157,157,0,157,0,157,7.37,-0.07655876128408506,0.7764678495311256,0.6013950655521021,0.8675,0.6338400528750826,-0.019756024118506806,1513,10
162,162,0,162,0,162,6.6775,-0.08058393846030358,0.7987106310528265,0.6363438254764128,0.9225,0.6286279683377308,-0.026318480642804953,1516,11
168,168,0,168,0,168,7.4425,-0.08428017237420071,0.819828088626116,0.6704377996631001,0.935,0.6298744216787838,-0.029813970226423216,1513,12
186,186,0,186,0,186,7.6275,-0.08761884559491971,0.8384502680578586,0.7012413548762786,0.94,0.6308503625576797,-0.03283879471956613,1517,13
163,163,0,163,0,163,7.7325,-0.09081983007262194,0.8549924620538571,0.7291845798934934,0.94,0.6284970722186076,-0.03409188513934794,1537,14
162,162,0,162,0,162,7.6675,-0.09379570982033326,0.8693271804441925,0.7538404222924017,0.9425,0.6287581699346405,-0.03686858097270831,1530,15
166,166,0,166,0,166,7.5125,-0.09648771960781861,0.8815848387306711,0.7752488483100837,0.945,0.616580310880829,-0.04376152122367706,1544,16
165,165,0,165,0,165,7.48,-0.09900772997816532,0.8922662780115962,0.7941487630994757,0.945,0.6126760563380281,-0.047694695927103244,1562,17
163,163,0,163,0,163,7.4975,-0.10125164655392442,0.901576182657554,0.8108075141025287,0.945,0.6075619295958279,-0.05027539878389061,1534,18
164,164,0,164,0,164,7.67,-0.10329077178431988,0.9098556867959304,0.8257677773679067,0.945,0.5973770491803279,-0.05377031553098288,1525,19
179,179,0,179,0,179,7.605,-0.10514992978389992,0.9169446201479612,0.8386854678272436,0.945,0.5982792852415619,-0.05470521541950125,1511,20
