node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,114,1,0.07869332908111873,1,0.6087976836138147,1.0,0.15609988770813701,1,1,0.0,0.0,0.0,10.5,0.8955805943149389,0.0,0.0,0.0,10.5,0.07869332908111873,1,114,1.0
1,2,0,-0.9138033278290096,-1,0.31515269684665126,0.6984050554254313,-0.9471311286278915,1,1,0.0,0.0,0.0,11.0,0.3307482607040354,0.0,0.0,0.0,11.0,-0.9138033278290096,-1,2,0.6984050554254313
2,10,0,0.4455028349845928,1,0.3052773479474527,0.704201438259127,0.7118900960027349,1,1,0.0,0.0,0.0,11.0,0.40675353492944116,0.0,0.0,0.0,11.0,0.4455028349845928,1,10,0.704201438259127
3,4,0,-0.9886875152839447,-1,0.687192920906327,1.0,-0.9621561354135852,1,1,0.0,0.0,0.0,11.0,0.5365779348668462,0.0,0.0,0.0,11.0,-0.9886875152839447,-1,4,1.0
4,111,1,-0.8801317528149135,-1,0.3588270263717225,0.7915868714410768,-0.9404660903557045,1,1,0.0,0.0,0.0,9.5,0.8590422084171316,0.0,0.0,0.0,9.5,-0.8801317528149135,-1,111,0.7915868714410768
5,97,1,-0.8596955444202055,-1,0.7479711102211855,1.0,-0.9351704115927063,1,1,0.0,0.0,0.0,9.5,0.8960214877008363,0.0,0.0,0.0,9.5,-0.8596955444202055,-1,97,1.0
6,102,1,-0.7946296033461471,-1,0.2840332428136944,0.6107921258787892,-0.9147983109472638,0,0,0.0,0.0,0.0,11.0,0.8348443665731391,0.0,0.0,0.0,11.0,-0.7946296033461471,-1,102,0.6107921258787892
7,100,1,-0.7916613599992439,-1,0.6066251686726818,1.0,-0.9139544295537547,1,1,0.0,0.0,0.0,10.0,0.8938274497615329,0.0,0.0,0.0,10.0,-0.7916613599992439,-1,100,1.0
8,4,0,-0.9623150814318147,-1,0.6886843256185604,0.9732105953711363,-0.9574322449641405,0,0,0.0,0.0,0.0,10.5,0.5504179383152993,0.0,0.0,0.0,10.5,-0.9623150814318147,-1,4,0.9732105953711363
9,8,0,-0.9421781484537168,-1,0.34115383304938707,0.6701654950084338,-0.9534078794410671,0,0,0.0,0.0,0.0,11.0,0.4809930439873932,0.0,0.0,0.0,11.0,-0.9421781484537168,-1,8,0.6701654950084338
10,101,1,-0.8341429358159076,-1,0.36572441807393963,0.7989264009845863,-0.9278315061146272,1,1,0.0,0.0,0.0,10.0,0.85680529507699,0.0,0.0,0.0,10.0,-0.8341429358159076,-1,101,0.7989264009845863
