node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,98,1,0.07869332908111873,1,0.6087976836138147,1.0,0.15609988770813701,1,1,0.0,0.0,0.0,10.0,0.8967012729905589,0.0,0.0,0.0,10.0,0.07869332908111873,1,98,1.0
1,2,0,-0.9134058949051086,-1,0.31515269684665126,0.6225019850083819,-0.9470376139034816,0,0,0.0,0.0,0.0,11.0,0.3787163396850028,0.0,0.0,0.0,11.0,-0.9134058949051086,-1,2,0.6225019850083819
2,7,0,0.9691198871946937,1,0.3052773479474527,0.6154901291577859,0.9585242039145497,0,0,0.0,0.0,0.0,11.0,0.4366712221141175,0.0,0.0,0.0,11.0,0.9691198871946937,1,7,0.6154901291577859
3,5,0,-0.9883875011750929,-1,0.687192920906327,1.0,-0.9621052252395894,1,1,0.0,0.0,0.0,11.0,0.5519963787293203,0.0,0.0,0.0,11.0,-0.9883875011750929,-1,5,1.0
4,102,1,-0.8889024394334027,-1,0.3588270263717225,0.7895937683268367,-0.9425295139063041,1,1,0.0,0.0,0.0,10.5,0.856010984731698,0.0,0.0,0.0,10.5,-0.8889024394334027,-1,102,0.7895937683268367
5,91,1,-0.8688427828480477,-1,0.7479711102211855,1.0,-0.9374942462241924,1,1,0.0,0.0,0.0,10.5,0.8955547139451918,0.0,0.0,0.0,10.5,-0.8688427828480477,-1,91,1.0
6,104,1,-0.7961731819620425,-1,0.2840332428136944,0.6172601285489716,-0.91554154557598,0,0,0.0,0.0,0.0,10.0,0.8394674410346418,0.0,0.0,0.0,10.0,-0.7961731819620425,-1,104,0.6172601285489716
7,97,1,-0.792236163040224,-1,0.6066251686726818,1.0,-0.9141581994469498,1,1,0.0,0.0,0.0,10.0,0.8940836657089443,0.0,0.0,0.0,10.0,-0.792236163040224,-1,97,1.0
8,7,0,-0.9614335535068435,-1,0.6886843256185604,1.0,-0.9573024497289876,1,1,0.0,0.0,0.0,9.5,0.5670342055577748,0.0,0.0,0.0,9.5,-0.9614335535068435,-1,7,1.0
9,1,0,-0.9438424844002071,-1,0.34115383304938707,0.709788716714887,-0.9538098114161603,1,1,0.0,0.0,0.0,10.0,0.3265612924812841,0.0,0.0,0.0,10.0,-0.9438424844002071,-1,1,0.709788716714887
10,96,1,-0.8311034448575058,-1,0.36572441807393963,0.7906481187426151,-0.9269915554571477,1,1,0.0,0.0,0.0,9.5,0.8512119503431761,0.0,0.0,0.0,9.5,-0.8311034448575058,-1,96,0.7906481187426151
11,11,0,0.9919161754571963,1,0.778711331683521,1.0,0.9626879724410013,1,1,0.0,0.0,0.0,8.0,0.5808623400503857,0.0,0.0,0.0,8.0,0.9919161754571963,1,11,1.0
12,108,1,0.9108130357070688,1,0.358758563207695,0.7920901543376527,0.9476078092202808,1,1,0.0,0.0,0.0,10.0,0.8588028557985208,0.0,0.0,0.0,10.0,0.9108130357070688,1,108,0.7920901543376527
13,3,0,-0.9281590165609724,-1,0.45797422994002873,0.8289062955973008,-0.9504417526839918,1,1,0.0,0.0,0.0,10.5,0.4182701861833329,0.0,0.0,0.0,10.5,-0.9281590165609724,-1,3,0.8289062955973008
14,2,0,-0.9306737878528295,-1,0.4595093559454197,0.7353673116692611,-0.9510306535948909,0,0,0.0,0.0,0.0,10.0,0.4068822084860958,0.0,0.0,0.0,10.0,-0.9306737878528295,-1,2,0.7353673116692611
15,4,0,-0.9479699022484899,-1,0.35182084995781016,0.721691711535696,-0.9546221972002112,1,1,0.0,0.0,0.0,10.5,0.39547302188465017,0.0,0.0,0.0,10.5,-0.9479699022484899,-1,4,0.721691711535696
16,6,0,-0.9735595960675308,-1,0.6654746518622543,0.9992847911173526,-0.9596286430266571,1,1,0.0,0.0,0.0,6.5,0.5864493106196265,0.0,0.0,0.0,6.5,-0.9735595960675308,-1,6,0.9992847911173526
17,4,0,-0.9059709947019358,-1,0.6631096059374932,1.0,-0.9453136613049642,1,1,0.0,0.0,0.0,10.5,0.5365779348668462,0.0,0.0,0.0,10.5,-0.9059709947019358,-1,4,1.0
18,3,0,-0.9522186967354132,-1,0.4269908085342714,0.8190272023892363,-0.9554498232232678,1,1,0.0,0.0,0.0,11.0,0.4103303978431971,0.0,0.0,0.0,11.0,-0.9522186967354132,-1,3,0.8190272023892363
19,2,0,-0.9171959394947582,-1,0.7010754746484402,1.0,-0.9480176299947372,1,1,0.0,0.0,0.0,10.0,0.5279047498177912,0.0,0.0,0.0,10.0,-0.9171959394947582,-1,2,1.0
20,2,0,-0.9634227877663991,-1,0.3278449606394015,0.6955986664419358,-0.9576420117261812,1,1,0.0,0.0,0.0,10.5,0.3204508616521283,0.0,0.0,0.0,10.5,-0.9634227877663991,-1,2,0.6955986664419358
21,6,0,-0.9381672400841414,-1,0.2025834654006072,0.45564108176717233,-0.9526314920921991,0,0,0.0,0.0,0.0,10.0,0.3452210070294843,0.0,0.0,0.0,10.0,-0.9381672400841414,-1,6,0.45564108176717233
22,2,0,0.012594082015737487,1,0.5427004172334446,0.7980514924434953,0.025182838559739223,0,0,0.0,0.0,0.0,10.5,0.4208204345496242,0.0,0.0,0.0,10.5,0.012594082015737487,1,2,0.7980514924434953
23,4,0,0.04199092235722456,1,0.7964466634714271,1.0,0.08378496021843078,1,1,0.0,0.0,0.0,10.5,0.5616693672347711,0.0,0.0,0.0,10.5,0.04199092235722456,1,4,1.0
24,6,0,0.14611518555970507,1,0.22318658589613077,0.6115824574959225,0.28418635176652624,1,1,0.0,0.0,0.0,9.5,0.36065028140794025,0.0,0.0,0.0,9.5,0.14611518555970507,1,6,0.6115824574959225
25,4,0,-0.9567055643354921,-1,0.3247988442250764,0.5984594211967491,-0.956420730227577,0,0,0.0,0.0,0.0,9.0,0.42030291900727756,0.0,0.0,0.0,9.0,-0.9567055643354921,-1,4,0.5984594211967491
26,2,0,0.9643493519026799,1,0.5113487854922505,0.7668082697549248,0.9576916965099445,0,0,0.0,0.0,0.0,9.0,0.429142291760088,0.0,0.0,0.0,9.0,0.9643493519026799,1,2,0.7668082697549248
27,1,0,-0.9436732360175746,-1,0.6859644418669224,1.0,-0.9537458124980626,1,1,0.0,0.0,0.0,10.5,0.5290516693779104,0.0,0.0,0.0,10.5,-0.9436732360175746,-1,1,1.0
28,1,0,0.9591660683112818,1,0.25342520304503197,0.5199617751841348,0.9566048848891858,0,0,0.0,0.0,0.0,10.5,0.2908760167457383,0.0,0.0,0.0,10.5,0.9591660683112818,1,1,0.5199617751841348
29,4,0,-0.9217145225290108,-1,0.43714079225533664,0.7102441675574055,-0.9490939102525258,0,0,0.0,0.0,0.0,9.5,0.42511216340649005,0.0,0.0,0.0,9.5,-0.9217145225290108,-1,4,0.7102441675574055
30,5,0,-0.9585979505281573,-1,0.6482454803779318,0.9285262035174628,-0.9567014640565383,0,0,0.0,0.0,0.0,11.0,0.5389322783673786,0.0,0.0,0.0,11.0,-0.9585979505281573,-1,5,0.9285262035174628
31,3,0,-0.9264597520067815,-1,0.422925925043817,0.7901372496926202,-0.9500661729270765,1,1,0.0,0.0,0.0,10.5,0.3989819514074055,0.0,0.0,0.0,10.5,-0.9264597520067815,-1,3,0.7901372496926202
32,3,0,0.12783646867107065,1,0.31330185228538343,0.6865364996777648,0.25024385175443686,1,1,0.0,0.0,0.0,10.0,0.3589493537818528,0.0,0.0,0.0,10.0,0.12783646867107065,1,3,0.6865364996777648
33,3,0,0.952404179280144,1,0.3172974964379524,0.6862333328804648,0.9552095648201204,1,1,0.0,0.0,0.0,11.0,0.3561578279331054,0.0,0.0,0.0,11.0,0.952404179280144,1,3,0.6862333328804648
34,3,0,-0.9199620335196007,-1,0.44602927214899657,0.7151035259246049,-0.948748293876786,0,0,0.0,0.0,0.0,9.0,0.4329710294065858,0.0,0.0,0.0,9.0,-0.9199620335196007,-1,3,0.7151035259246049
35,0,0,0.9722572251451448,1,0.48765024488353476,0.8832578896236574,0.9591508332897007,1,1,0.0,0.0,0.0,10.0,0.3747259305401808,0.0,0.0,0.0,10.0,0.9722572251451448,1,0,0.8832578896236574
36,2,0,0.9634651757295858,1,0.7170886506896084,1.0,0.9574743002112732,1,1,0.0,0.0,0.0,10.0,0.5322126544359379,0.0,0.0,0.0,10.0,0.9634651757295858,1,2,1.0
37,2,0,-0.9200276744112502,-1,0.5853514511407962,0.8632873644598485,-0.9488698138712001,0,0,0.0,0.0,0.0,8.0,0.5097480881716284,0.0,0.0,0.0,8.0,-0.9200276744112502,-1,2,0.8632873644598485
38,3,0,0.9574746377216762,1,0.6142411727093009,1.0,0.9562414658170366,1,1,0.0,0.0,0.0,11.0,0.5365779348668462,0.0,0.0,0.0,11.0,0.9574746377216762,1,3,1.0
39,1,0,0.9799323947404102,1,0.7897923029215443,1.0,0.9606256414452609,1,1,0.0,0.0,0.0,7.5,0.4933220958903637,0.0,0.0,0.0,7.5,0.9799323947404102,1,1,1.0
40,0,0,0.9804944691307285,1,0.4471060641805843,0.7300822769706254,0.9606627568852254,0,0,0.0,0.0,0.0,10.0,0.34483611688470245,0.0,0.0,0.0,10.0,0.9804944691307285,1,0,0.7300822769706254
41,0,0,-0.9499365620362926,-1,0.44201264194947704,0.8507405359421736,-0.9550695753148286,1,1,0.0,0.0,0.0,9.5,0.4105202945503751,0.0,0.0,0.0,9.5,-0.9499365620362926,-1,0,0.8507405359421736
42,4,0,-0.946169963517584,-1,0.7540081806354875,1.0,-0.954230411918618,1,1,0.0,0.0,0.0,11.0,0.5504179383152993,0.0,0.0,0.0,11.0,-0.946169963517584,-1,4,1.0
43,3,0,0.9682403978126015,1,0.3475253522030352,0.760748128930661,0.9584127000398704,1,1,0.0,0.0,0.0,9.5,0.4298183313853531,0.0,0.0,0.0,9.5,0.9682403978126015,1,3,0.760748128930661
44,2,0,-0.9504252028137137,-1,0.6378891477817201,0.9427334886690321,-0.955091608014572,0,0,0.0,0.0,0.0,11.0,0.5186546052105948,0.0,0.0,0.0,11.0,-0.9504252028137137,-1,2,0.9427334886690321
45,1,0,-0.9536803115322908,-1,0.6527438829308809,1.0,-0.9557618760826118,1,1,0.0,0.0,0.0,10.5,0.4933220958903637,0.0,0.0,0.0,10.5,-0.9536803115322908,-1,1,1.0
46,4,0,-0.9346558454915062,-1,0.2586727984672659,0.687968818960448,-0.9518184824985108,1,1,0.0,0.0,0.0,11.0,0.4084933254579771,0.0,0.0,0.0,11.0,-0.9346558454915062,-1,4,0.687968818960448
47,2,0,0.9405922548229502,1,0.48093884341615045,0.7626383361724969,0.9527511992562391,0,0,0.0,0.0,0.0,10.5,0.42262436933418407,0.0,0.0,0.0,10.5,0.9405922548229502,1,2,0.7626383361724969
48,8,0,-0.9143306332214588,-1,0.32033748279293245,0.582330516575385,-0.9472549540218876,0,0,0.0,0.0,0.0,11.0,0.39768562159057563,0.0,0.0,0.0,11.0,-0.9143306332214588,-1,8,0.582330516575385
49,2,0,-0.9352420519233355,-1,0.31122516368149145,0.6894443119307303,-0.9519778352419115,1,1,0.0,0.0,0.0,10.5,0.3467953901575891,0.0,0.0,0.0,10.5,-0.9352420519233355,-1,2,0.6894443119307303
50,4,0,-0.9375622979063182,-1,0.4782968662777258,0.8513764637104466,-0.9524708503089421,1,1,0.0,0.0,0.0,10.5,0.45455883602822644,0.0,0.0,0.0,10.5,-0.9375622979063182,-1,4,0.8513764637104466
51,3,0,-0.9394209401556256,-1,0.373657824504839,0.6427041474836063,-0.9528942893165175,0,0,0.0,0.0,0.0,10.0,0.4012801760762741,0.0,0.0,0.0,10.0,-0.9394209401556256,-1,3,0.6427041474836063
52,3,0,-0.9449631804312629,-1,0.6776362685755226,0.9448732731853093,-0.9539832554110159,0,0,0.0,0.0,0.0,11.0,0.5122189153334555,0.0,0.0,0.0,11.0,-0.9449631804312629,-1,3,0.9448732731853093
53,4,0,0.9870644585333012,1,0.7445629348342895,1.0,0.9618522332955155,1,1,0.0,0.0,0.0,8.5,0.5616693672347711,0.0,0.0,0.0,8.5,0.9870644585333012,1,4,1.0
54,0,0,0.09921044141635471,1,0.6816323631730195,1.0,0.19585724886322994,1,1,0.0,0.0,0.0,10.0,0.4933220958903637,0.0,0.0,0.0,10.0,0.09921044141635471,1,0,1.0
55,3,0,0.9648972271675575,1,0.35961852357299917,0.661544213739433,0.95777392849149,0,0,0.0,0.0,0.0,9.5,0.4310796756406048,0.0,0.0,0.0,9.5,0.9648972271675575,1,3,0.661544213739433
56,1,0,-0.9272279568394888,-1,0.36448063621316507,0.7468915055994249,-0.9502363075901437,1,1,0.0,0.0,0.0,10.5,0.37321875395488174,0.0,0.0,0.0,10.5,-0.9272279568394888,-1,1,0.7468915055994249
57,2,0,-0.9205165548122869,-1,0.3528370100704805,0.6999116035715233,-0.9488238154273299,1,1,0.0,0.0,0.0,9.5,0.36900584373378537,0.0,0.0,0.0,9.5,-0.9205165548122869,-1,2,0.6999116035715233
58,5,0,-0.9354648232611346,-1,0.2810228576337417,0.5673953889164414,-0.9520253862407497,0,0,0.0,0.0,0.0,10.5,0.38283257254836306,0.0,0.0,0.0,10.5,-0.9354648232611346,-1,5,0.5673953889164414
