seed,involvement_threshold,final_mean_opinion,final_std_opinion,final_opinion_variance,final_extremist_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
42,0.1,-0.10514992978389992,0.9169446201479612,0.8386854678272436,0.945,0.5982792852415619,0.40172071475843807,-0.05470521541950125,1511
43,0.1,0.041992070767433075,0.9400096973571986,0.8814091855477585,0.9775,0.4945280437756498,0.5054719562243501,-0.07186358879655276,1462
42,0.3,-0.2655109957210611,0.77330471283721,0.5965051784489994,0.7375,0.6098191214470284,0.39018087855297157,-0.04707710188149641,1548
43,0.3,-0.15508462293136602,0.7926884482211322,0.6267840885033688,0.715,0.4891304347826087,0.5108695652173914,-0.08426580806047201,1472
42,0.5,-0.3258374011542533,0.6902215714718015,0.47521480318069065,0.63,0.6030395136778115,0.3969604863221885,-0.04426995079628496,1645
43,0.5,-0.23963860482649715,0.6915938172054652,0.4771062529768345,0.5675,0.49266247379454925,0.5073375262054507,-0.07743671926364236,1431
42,0.7,-0.3539139756573917,0.6433349327732061,0.4128451361369899,0.56,0.6030395136778115,0.3969604863221885,-0.04426995079628496,1645
43,0.7,-0.26474229676746724,0.6523021980931258,0.4244344122430306,0.5,0.49266247379454925,0.5073375262054507,-0.07743671926364236,1431
42,0.9,-0.3591808072603873,0.6330964539231133,0.39980909217009547,0.56,0.6030395136778115,0.3969604863221885,-0.04426995079628496,1645
43,0.9,-0.26965871100129724,0.64363923575959,0.41323578714466597,0.5,0.49266247379454925,0.5073375262054507,-0.07743671926364236,1431
