node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,90,1,0.07869332908111873,1,0.6087976836138147,1.0,0.15609988770813701,1,1,0.0,0.0,0.0,10.5,0.8938012712618688,0.0,0.0,0.0,10.5,0.07869332908111873,1,90,1.0
1,2,0,-0.6791854116681537,-1,0.31515269684665126,0.6247950802066513,-0.853558254633592,0,0,0.0,0.0,0.0,10.5,0.3811473039944868,0.0,0.0,0.0,10.5,-0.6791854116681537,-1,2,0.6247950802066513
2,7,0,0.8678966146031254,1,0.3052773479474527,0.6955435009074528,0.9343243740305043,1,1,0.0,0.0,0.0,10.0,0.4147306974031877,0.0,0.0,0.0,10.0,0.8678966146031254,1,7,0.6955435009074528
3,5,0,-0.9592147721897419,-1,0.687192920906327,1.0,-0.9568397213727029,1,1,0.0,0.0,0.0,10.5,0.5504179383152993,0.0,0.0,0.0,10.5,-0.9592147721897419,-1,5,1.0
4,96,1,-0.7633688915157265,-1,0.3588270263717225,0.7921096785317225,-0.9031995525182264,1,1,0.0,0.0,0.0,10.5,0.8530606155453545,0.0,0.0,0.0,10.5,-0.7633688915157265,-1,96,0.7921096785317225
5,115,1,-0.7234416485205992,-1,0.7479711102211855,1.0,-0.8860310622180368,1,1,0.0,0.0,0.0,10.5,0.8979929319085931,0.0,0.0,0.0,10.5,-0.7234416485205992,-1,115,1.0
6,89,1,-0.590906242512805,-1,0.2840332428136944,0.6601660658536944,-0.807470163613973,1,1,0.0,0.0,0.0,9.5,0.7927466517711594,0.0,0.0,0.0,9.5,-0.590906242512805,-1,89,0.6601660658536944
7,97,1,-0.5579484018595449,-1,0.6066251686726818,1.0,-0.7807807531128703,1,1,0.0,0.0,0.0,10.0,0.89578949870763,0.0,0.0,0.0,10.0,-0.5579484018595449,-1,97,1.0
8,7,0,-0.8615278421544031,-1,0.6886843256185604,1.0,-0.9334471247089053,1,1,0.0,0.0,0.0,10.5,0.5504179383152993,0.0,0.0,0.0,10.5,-0.8615278421544031,-1,7,1.0
9,4,0,-0.7905582465663774,-1,0.34115383304938707,0.6212888167293872,-0.9089914641559033,0,0,0.0,0.0,0.0,11.0,0.391036792834403,0.0,0.0,0.0,11.0,-0.7905582465663774,-1,4,0.6212888167293872
10,89,1,-0.646618214679196,-1,0.36572441807393963,0.6978991841539397,-0.8443984990636466,0,0,0.0,0.0,0.0,11.0,0.8529643674215345,0.0,0.0,0.0,11.0,-0.646618214679196,-1,89,0.6978991841539397
11,8,0,0.9626833721158492,1,0.778711331683521,0.9872267990101126,0.9574228778348642,0,0,0.0,0.0,0.0,8.0,0.5864493106196265,0.0,0.0,0.0,8.0,0.9626833721158492,1,8,0.9872267990101126
12,91,1,0.8162140514747512,1,0.358758563207695,0.7693227104076951,0.9221737511129352,1,1,0.0,0.0,0.0,10.5,0.8333079872365633,0.0,0.0,0.0,10.5,0.8162140514747512,1,91,0.7693227104076951
13,4,0,-0.7474880019382057,-1,0.45797422994002873,0.8434528142600288,-0.8905804781253787,1,1,0.0,0.0,0.0,10.5,0.46891135141096585,0.0,0.0,0.0,10.5,-0.7474880019382057,-1,4,0.8434528142600288
14,6,0,-0.7704043271327329,-1,0.4595093559454197,0.8323942967454198,-0.9006520768355958,1,1,0.0,0.0,0.0,11.0,0.45551211262602626,0.0,0.0,0.0,11.0,-0.7704043271327329,-1,6,0.8323942967454198
