potential_originators,actual_creators,constructive_posts,toxic_posts,support_posts,oppose_posts,avg_exposure_size,mean_opinion,std_opinion,opinion_variance,extremist_ratio,homophily_ratio,sign_modularity,edge_count,round
125,72,14,58,31,41,2.77,-0.029224148712297754,0.40657500295482696,0.1648899749451484,0.0775,0.5563665855636658,0.03521223271878873,1233,1
133,89,18,71,8,81,3.6425,-0.03788008905901087,0.4440382372748128,0.19667703127171776,0.09,0.5916271721958926,0.0481831065759637,1266,2
148,138,3,135,1,137,6.6325,-0.04262147517551406,0.49826287892193294,0.24764523177029404,0.115,0.6186567164179104,0.04350739019357604,1340,3
164,164,0,164,0,164,7.43,-0.047614735159615194,0.5528453249215719,0.3048738584044195,0.1475,0.621505376344086,0.020641503051231955,1395,4
146,146,0,146,0,146,6.6925,-0.053051703551979676,0.5994956730560594,0.35849657435790516,0.22,0.6170952050034746,0.002910711864818352,1439,5
184,184,0,184,0,184,7.67,-0.05816838871692183,0.6452346596061586,0.4152869465421823,0.3075,0.6168478260869565,-0.00497781635802462,1472,6
162,162,0,162,0,162,7.5075,-0.06314075466133678,0.6850108110765251,0.46806671176348913,0.4325,0.6329537843268587,-0.004173535889316647,1493,7
175,175,0,175,0,175,6.8325,-0.06793858865981571,0.7178270096020973,0.5139874266750035,0.575,0.6343940419769803,-0.010097819710013022,1477,8
175,175,0,175,0,175,7.6225,-0.07235673006353623,0.7491783424735238,0.5598650183592984,0.7575,0.6313333333333333,-0.01896914845173045,1500,9
157,157,0,157,0,157,7.37,-0.07655876128408506,0.7764678495311256,0.6013950655521021,0.8675,0.6338400528750826,-0.019756024118506806,1513,10
