node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,86,1,0.07869332908111873,1,0.6087976836138147,0.9252786101682889,0.15609988770813701,0,0,0.0,0.0,0.0,10.0,0.8924943740722674,0.0,0.0,0.0,10.0,0.07869332908111873,1,86,0.9252786101682889
1,2,0,-0.6823130917742374,-1,0.31515269684665126,0.6986627026066513,-0.8554806658606848,1,1,0.0,0.0,0.0,10.5,0.35382291412117123,0.0,0.0,0.0,10.5,-0.6823130917742374,-1,2,0.6986627026066513
2,5,0,0.4455028349845928,1,0.3052773479474527,0.7126693889074528,0.7118900960027349,1,1,0.0,0.0,0.0,10.5,0.4253719370841905,0.0,0.0,0.0,10.5,0.4455028349845928,1,5,0.7126693889074528
3,5,0,-0.9588308280441614,-1,0.687192920906327,1.0,-0.9568066654204731,1,1,0.0,0.0,0.0,9.5,0.5331003117943195,0.0,0.0,0.0,9.5,-0.9588308280441614,-1,5,1.0
4,107,1,-0.7464818967632206,-1,0.3588270263717225,0.7917000785317225,-0.8964145965595839,1,1,0.0,0.0,0.0,10.0,0.8560052451341842,0.0,0.0,0.0,10.0,-0.7464818967632206,-1,107,0.7917000785317225
5,87,1,-0.7050263964807999,-1,0.7479711102211855,1.0,-0.8773922270812275,1,1,0.0,0.0,0.0,10.0,0.8940836657089443,0.0,0.0,0.0,10.0,-0.7050263964807999,-1,87,1.0
6,114,1,-0.5682247983262647,-1,0.2840332428136944,0.6161791730536945,-0.7898039879343673,0,0,0.0,0.0,0.0,9.5,0.8418622022853175,0.0,0.0,0.0,9.5,-0.5682247983262647,-1,114,0.6161791730536945
7,105,1,-0.5579856546449203,-1,0.6066251686726818,1.0,-0.781369751226969,1,1,0.0,0.0,0.0,9.5,0.8971415399726286,0.0,0.0,0.0,9.5,-0.5579856546449203,-1,105,1.0
8,8,0,-0.8607542191937932,-1,0.6886843256185604,0.9732105953711363,-0.9332199622121764,0,0,0.0,0.0,0.0,10.5,0.5864493106196265,0.0,0.0,0.0,10.5,-0.8607542191937932,-1,8,0.9732105953711363
9,7,0,-0.7901662299198245,-1,0.34115383304938707,0.7082547303293871,-0.9090377232385275,1,1,0.0,0.0,0.0,10.5,0.3971171615972592,0.0,0.0,0.0,10.5,-0.7901662299198245,-1,7,0.7082547303293871
10,103,1,-0.6510218186686366,-1,0.36572441807393963,0.7964025057539397,-0.8480232800567475,1,1,0.0,0.0,0.0,9.5,0.8574857487280274,0.0,0.0,0.0,9.5,-0.6510218186686366,-1,103,0.7964025057539397
11,5,0,0.9564436698048459,1,0.778711331683521,0.9621175186141576,0.9563150946766933,0,0,0.0,0.0,0.0,6.5,0.5560010797105055,0.0,0.0,0.0,6.5,0.9564436698048459,1,5,0.9621175186141576
12,106,1,0.6386103918860566,1,0.358758563207695,0.751476950407695,0.8557426740282984,1,1,0.0,0.0,0.0,10.0,0.8294122342587218,0.0,0.0,0.0,10.0,0.6386103918860566,1,106,0.751476950407695
13,2,0,-0.7366511338420069,-1,0.45797422994002873,0.8818109326600287,-0.885359491694983,1,1,0.0,0.0,0.0,10.5,0.47706419914413734,0.0,0.0,0.0,10.5,-0.7366511338420069,-1,2,0.8818109326600287
14,9,0,-0.739740613140036,-1,0.4595093559454197,0.7434577975454199,-0.8871905321586362,0,0,0.0,0.0,0.0,10.0,0.4901340560133249,0.0,0.0,0.0,10.0,-0.739740613140036,-1,9,0.7434577975454199
15,4,0,-0.8140652751571114,-1,0.35182084995781016,0.7604236685178103,-0.918206114180872,1,1,0.0,0.0,0.0,10.0,0.43780628967882357,0.0,0.0,0.0,10.0,-0.8140652751571114,-1,4,0.7604236685178103
16,4,0,-0.899247426938515,-1,0.6654746518622543,0.9192847911173526,-0.9440841836764047,0,0,0.0,0.0,0.0,7.5,0.5504179383152993,0.0,0.0,0.0,7.5,-0.899247426938515,-1,4,0.9192847911173526
