node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
0,111,1,0.07869332908111873,1,0.6087976836138147,1.0,0.15609988770813701,1,1,0.0,0.0,0.0,10.0,0.8962507411437519,0.0,0.0,0.0,10.0,0.07869332908111873,1,111,1.0
1,3,0,-0.6817164096905884,-1,0.31515269684665126,0.7480552402066513,-0.8546414384594694,1,1,0.0,0.0,0.0,11.0,0.42358098960860113,0.0,0.0,0.0,11.0,-0.6817164096905884,-1,3,0.7480552402066513
2,10,0,0.8691334230771282,1,0.3052773479474527,0.5954057729074528,0.9345696129038518,0,0,0.0,0.0,0.0,10.5,0.4340246876136387,0.0,0.0,0.0,10.5,0.8691334230771282,1,10,0.5954057729074528
3,6,0,-0.9572136137445171,-1,0.687192920906327,1.0,-0.9564739569596686,1,1,0.0,0.0,0.0,10.0,0.5928226093054857,0.0,0.0,0.0,10.0,-0.9572136137445171,-1,6,1.0
4,95,1,-0.7632722001849827,-1,0.3588270263717225,0.7293000785317225,-0.9031611014818963,1,1,0.0,0.0,0.0,10.5,0.8131686602511689,0.0,0.0,0.0,10.5,-0.7632722001849827,-1,95,0.7293000785317225
5,96,1,-0.720931974106533,-1,0.7479711102211855,1.0,-0.8852444372345235,1,1,0.0,0.0,0.0,9.5,0.8933048709981832,0.0,0.0,0.0,9.5,-0.720931974106533,-1,96,1.0
6,82,1,-0.5708206432193574,-1,0.2840332428136944,0.5772031730536945,-0.7904007379181766,0,0,0.0,0.0,0.0,11.0,0.8045902766470431,0.0,0.0,0.0,11.0,-0.5708206432193574,-1,82,0.5772031730536945
7,86,1,-0.5599503993089175,-1,0.6066251686726818,1.0,-0.7824593327420978,1,1,0.0,0.0,0.0,10.0,0.8913601384276589,0.0,0.0,0.0,10.0,-0.5599503993089175,-1,86,1.0
8,5,0,-0.8586328010794053,-1,0.6886843256185604,0.9732105953711363,-0.9325931931373015,0,0,0.0,0.0,0.0,10.5,0.5616693672347711,0.0,0.0,0.0,10.5,-0.8586328010794053,-1,5,0.9732105953711363
9,4,0,-0.7991322882589628,-1,0.34115383304938707,0.6985130087293872,-0.9123334356228853,1,1,0.0,0.0,0.0,11.0,0.37757193828018265,0.0,0.0,0.0,11.0,-0.7991322882589628,-1,4,0.6985130087293872
10,101,1,-0.6438372247519871,-1,0.36572441807393963,0.7987462369539396,-0.8432914064662597,1,1,0.0,0.0,0.0,10.0,0.8563970730648386,0.0,0.0,0.0,10.0,-0.6438372247519871,-1,101,0.7987462369539396
11,4,0,0.9623223821550619,1,0.778711331683521,1.0,0.9573003372051054,0,0,0.0,0.0,0.0,9.0,0.5447220905030644,0.0,0.0,0.0,9.0,0.9623223821550619,1,4,1.0
12,85,1,0.8129680655990659,1,0.358758563207695,0.775476950407695,0.9212068459637393,1,1,0.0,0.0,0.0,10.0,0.8441541022004871,0.0,0.0,0.0,10.0,0.8129680655990659,1,85,0.775476950407695
13,2,0,-0.7359158572713206,-1,0.45797422994002873,0.8792180622600287,-0.8849968976254665,1,1,0.0,0.0,0.0,10.5,0.45626305158443087,0.0,0.0,0.0,10.5,-0.7359158572713206,-1,2,0.8792180622600287
14,6,0,-0.7425670818468715,-1,0.4595093559454197,0.7444203575454197,-0.8882380335741936,0,0,0.0,0.0,0.0,10.5,0.46896342579130806,0.0,0.0,0.0,10.5,-0.7425670818468715,-1,6,0.7444203575454197
15,3,0,-0.8114570244991196,-1,0.35182084995781016,0.7182589325178103,-0.9170988567279876,1,1,0.0,0.0,0.0,10.5,0.38097978340570055,0.0,0.0,0.0,10.5,-0.8114570244991196,-1,3,0.7182589325178103
16,4,0,-0.9051479201279206,-1,0.6654746518622543,1.0,-0.9453616177667701,1,1,0.0,0.0,0.0,8.5,0.5365779348668462,0.0,0.0,0.0,8.5,-0.9051479201279206,-1,4,1.0
17,4,0,-0.6661957557492088,-1,0.6631096059374932,1.0,-0.8447915782179278,1,1,0.0,0.0,0.0,11.0,0.5086821184139293,0.0,0.0,0.0,11.0,-0.6661957557492088,-1,4,1.0
18,2,0,-0.8217062498838512,-1,0.4269908085342714,0.6948704373342715,-0.9205809870295925,0,0,0.0,0.0,0.0,11.0,0.3843073803510353,0.0,0.0,0.0,11.0,-0.8217062498838512,-1,2,0.6948704373342715
19,3,0,-0.6979557438867637,-1,0.7010754746484402,0.9806452847890642,-0.8643280480530704,0,0,0.0,0.0,0.0,11.0,0.5365779348668462,0.0,0.0,0.0,11.0,-0.6979557438867637,-1,3,0.9806452847890642
20,2,0,-0.8656789636674933,-1,0.3278449606394015,0.6097621753594016,-0.9345592795225043,0,0,0.0,0.0,0.0,11.0,0.3574156889331683,0.0,0.0,0.0,11.0,-0.8656789636674933,-1,2,0.6097621753594016
21,6,0,-0.7767447151088024,-1,0.2025834654006072,0.5954397444406072,-0.9033508580643241,1,1,0.0,0.0,0.0,11.0,0.34634664647877833,0.0,0.0,0.0,11.0,-0.7767447151088024,-1,6,0.5954397444406072
22,2,0,0.012594082015737487,1,0.5427004172334446,0.7882510501934447,0.025182838559739223,0,0,0.0,0.0,0.0,7.5,0.4542512295346487,0.0,0.0,0.0,7.5,0.012594082015737487,1,2,0.7882510501934447
23,5,0,0.04199092235722456,1,0.7964466634714271,1.0,0.08378496021843078,0,0,0.0,0.0,0.0,9.5,0.5616693672347711,0.0,0.0,0.0,9.5,0.04199092235722456,1,5,1.0
24,6,0,0.14611518555970507,1,0.22318658589613077,0.4918717340561308,0.28418635176652624,0,0,0.0,0.0,0.0,10.0,0.3491668458560405,0.0,0.0,0.0,10.0,0.14611518555970507,1,6,0.4918717340561308
