seed,tolerance_threshold,final_mean_opinion,final_std_opinion,final_mean_abs_opinion,final_opinion_variance,final_extremist_ratio,final_moderate_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
42,0.0,0.0014237539545953162,0.7755704415588253,0.7283721267660562,0.6009080003099314,0.645,0.098,0.5389696169088507,0.4610303830911493,0.036445476743784594,3028
43,0.0,-0.004010513587760867,0.7611690460838673,0.7075296011164288,0.5787989383995084,0.618,0.126,0.5396825396825397,0.46031746031746035,0.0380345526938585,2835
44,0.0,0.02835485970538718,0.7698693322574374,0.7160278581411141,0.5921060899617618,0.623,0.129,0.5200311162971606,0.4799688837028394,0.01836418247224056,2571
45,0.0,0.03419491139085313,0.7703966012211741,0.7178596415438178,0.5929174122499637,0.625,0.12,0.5407328352899324,0.45926716471006757,0.03295924294546018,2811
46,0.0,0.0166933116562768,0.7824666778414199,0.734692279460246,0.6116418478302562,0.637,0.102,0.5274102079395085,0.47258979206049145,0.02734147642760143,2645
47,0.0,0.015118836374044391,0.7809259197287634,0.7304530778088493,0.6092354468121107,0.653,0.108,0.5097054886211513,0.4902945113788487,0.008713390930877501,2988
48,0.0,0.018735654490216302,0.7851047039680599,0.7351378270326048,0.6157730067965822,0.656,0.116,0.5117948717948718,0.4882051282051282,0.01091469731120373,2925
49,0.0,0.01835109181219148,0.774604031993274,0.7280384627559726,0.5994113949738568,0.62,0.1,0.5184540389972145,0.48154596100278546,0.017502857810724692,2872
50,0.0,-0.0087412362244558,0.7634606349392713,0.7107299511348046,0.5822892689607734,0.602,0.112,0.5168421052631579,0.4831578947368421,0.010805657738839763,2850
51,0.0,-0.003878675954766962,0.7824109419044872,0.7334903103685193,0.611554715129855,0.643,0.102,0.523709167544784,0.476290832455216,0.023733315914385794,2847
52,0.0,0.03163774422632448,0.7681945183816599,0.7151215928901687,0.5895326952535587,0.631,0.124,0.5399638336347197,0.46003616636528033,0.03597773370708668,2765
53,0.0,0.005506755720290449,0.7738665118425132,0.7213889054657504,0.5982705087731474,0.635,0.115,0.5238095238095238,0.47619047619047616,0.022883579384049835,2982
54,0.0,0.0505548431669593,0.7622539720642175,0.7092768291892746,0.5804500868097492,0.605,0.128,0.5320491531052807,0.46795084689471933,0.028266258390910237,3011
55,0.0,-0.002379087161165928,0.7752970056835714,0.7218945590355066,0.6004843615748899,0.621,0.12,0.5310119695321001,0.46898803046789994,0.03136000981071094,2757
56,0.0,-0.011926639463803772,0.7778843494362188,0.7260340694181789,0.6044989570367114,0.635,0.115,0.5494616419919246,0.4505383580080754,0.04713767644899208,2972
57,0.0,0.01564191518051853,0.7790837834828566,0.7312036290930265,0.6063645701442766,0.639,0.102,0.5197168857431749,0.4802831142568251,0.017018810531827466,2967
58,0.0,-0.000388456007268676,0.7587552692173981,0.7017233466086966,0.575133849006601,0.61,0.135,0.5146750524109015,0.4853249475890985,0.014331910949836019,2862
59,0.0,0.031906822519790934,0.76248206130336,0.707729222973968,0.5807975149156116,0.61,0.133,0.5181258549931601,0.4818741450068399,0.018257329601344324,2924
60,0.0,0.02960683790522462,0.7712440334004974,0.7243553231262174,0.5942225416968118,0.613,0.101,0.49583963691376703,0.504160363086233,-0.0041483174603174355,2644
61,0.0,-0.030922237826241667,0.7857770388542821,0.7368696262104454,0.6168281092358133,0.662,0.111,0.522038567493113,0.47796143250688705,0.022375301064222558,2904
42,0.1,0.01585932987854154,0.643902712009127,0.512230594205185,0.41419609183017597,0.431,0.382,0.5095797280593325,0.4904202719406675,0.009870625571434116,3236
43,0.1,-0.022503019832468683,0.6828783449944195,0.5572162875123275,0.46585651122825505,0.493,0.358,0.5249276294628498,0.47507237053715023,0.022272458621079155,3109
